,Author,Book,Filename,Optional years exist,Translated,Year,Years (optional),Scraped Year,Scraped Author
0,Saint Thomas Aquinas,"Summa Theologica, Part I-II (Pars Prima Secundae)",b'17897.txt',0,1,1467,,,1467
1,Caxton,Game and Playe of the Chesse,b'10672-8.txt',1,1,1474,1474 1883,,
2,Dante Alighieri,Hell,b'1005.txt',0,0,1480,,1847,
3,Dante Alighieri,The Divine Comedy of Dante:  Purgatory,b'1006.txt',0,1,1480,,,
4,Dante Alighieri,The Divine Comedy of Dante:  Paradise,b'1007.txt',0,0,1480,,,
5,Dante Alighieri,The Banquet (Il Convito),b'12867-8.txt',1,1,1480,1887 1835,1887,
6,Geoffrey Chaucer,Troilus and Criseyde,b'257.txt',0,0,1483,,1483,
7,Dante Alighieri,"The Vision of Hell, Part 2, Translated By The Rev. H. F. Cary,",b'8780.txt',0,1,1484,,,1484
8,Dante Alighieri,"The Vision of Hell, Part 3, Translated By The Rev. H. F. Cary,",b'8781.txt',0,1,1484,,,1484
9,Dante Alighieri,"The Vision of Hell, Part 4, Translated By The Rev. H. F. Cary,",b'8782.txt',0,1,1484,,,1484
10,Dante Alighieri,"The Vision of Hell, Part 5, Translated By The Rev. H. F. Cary,",b'8783.txt',0,1,1484,,,1484
11,Dante Alighieri,"The Vision of Hell, Part 6, Translated By The Rev. H. F. Cary,",b'8784.txt',0,1,1484,,,1484
12,Dante Alighieri,"The Vision of Hell, Part 7, Translated By The Rev. H. F. Cary,",b'8785.txt',0,1,1484,,,1484
13,Dante Alighieri,"The Vision of Hell, Part 8, Translated By The Rev. H. F. Cary,",b'8786.txt',0,1,1484,,,1484
14,Dante Alighieri,"The Vision of Hell, Part 9, Translated By The Rev. H. F. Cary,",b'8787.txt',0,1,1484,,,1484
15,Dante Alighieri,"The Vision of Hell, Part 10, Translated By The Rev. H. F. Cary,",b'8788.txt',0,1,1484,,,1484
16,Dante Alighieri,"The Vision of Hell, Complete, Translated By The Rev. H. F. Cary,",b'8789.txt',0,1,1484,,,1484
17,Dante Alighieri,"The Vision of Purgatory, Part 1",b'8790.txt',0,1,1484,,,1484
18,Dante Alighieri,"The Vision of Purgatory, Part 2",b'8791.txt',0,1,1484,,,1484
19,Dante Alighieri,"The Vision of Purgatory, Part 3",b'8792.txt',0,1,1484,,,1484
20,Dante Alighieri,"The Vision of Purgatory, Part 4",b'8793.txt',0,1,1484,,,1484
21,Dante Alighieri,"The Vision of Purgatory, Part 5",b'8794.txt',0,1,1484,,,1484
22,Dante Alighieri,"The Vision of Purgatory, Complete",b'8795.txt',0,1,1484,,,1484
23,Dante Alighieri,"The Vision of Paradise, Part 1.",b'8796.txt',0,1,1484,,,1484
24,Dante Alighieri,"The Vision of Paradise, Part 2.",b'8797.txt',0,1,1484,,,1484
25,Dante Alighieri,"The Vision of Paradise, Part 3.",b'8798.txt',0,1,1484,,,1484
26,Dante Alighieri,"The Vision of Paradise, Complete",b'8799.txt',0,1,1484,,,1484
27,Thomas Aquinas,"Summa Theologica, Part I (Prima Pars)",b'17611.txt',0,1,1485,,,1467
28,Thomas Aquinas,"Summa Theologica, Part II-II (Secunda Secundae)",b'18755-8.txt',0,1,1485,,,1467
29,Thomas Betson,A Ryght Profytable Treatyse Compendiously Drawen Out Of Many and Dyvers Wrytynges Of Holy Men,b'16779-8.txt',1,0,1500,1500 1905 1715,,
30,Lucius Seneca,Apocolocyntosis,b'10001.txt',1,1,1513,1513 1904,1729,
31,Erasmus,"Colloquies of Erasmus, Volume I.",b'14031-8.txt',0,1,1515,1878,,1515
32,Thomas More,Utopia,b'2130.txt',1,1,1518,1901 1478 1557 1515 1684,1518,
33,Garcilaso de la Vega,The Works of Garcilaso de la Vega,b'49410-8.txt',1,1,1530,1503 1823,,
34,Hugh Latimer,Sermons on the Card and Other Discourses,b'2458.txt',1,0,1530,1883 1491,1886,1886
35,Anon.,The Story of the Prophet Jonas,b'12076.txt',0,1,1531,1531,,
36,Nicolo Machiavelli,The Prince,b'1232.txt',0,1,1532,1469,1768,
37,,,b'16.txt',,,1535,,,
38,Desiderius Erasmus,A Very Pleasaunt & Fruitful Diologe Called the Epicure,b'16246-8.txt',0,1,1545,1545,,
39,Desiderius Erasmus,A Merry Dialogue Declaringe the Properties of Shrowde Shrews and Honest Wives,b'14282.txt',0,1,1547,,,1515
40,Desiderius Erasmus,The Pilgrimage of Pure Devotion,b'14746-8.txt',0,0,1547,,,1515
41,Raphael Holinshed,"Chronicles of England, Scotland and Ireland (2 of 6): England (5 of 12)",b'16761-0.txt',0,0,1548,1154,,
42,Desiderius Erasmus,Two Dyaloges (c. 1549),b'14500-8.txt',0,1,1549,1549,,
43,,,b'17.txt',,,1551,,,
44,Sir Walter Raleigh,The Discovery of Guiana,b'2272.txt',0,0,1552,1552,1886,
45,Thomas More,Dialogue of Comfort Against Tribulation,b'17075-8.txt',1,0,1553,1951 1557 1950,1847,
46,Niccolò Machiavelli,"Machiavelli, Volume I",b'15772-8.txt',1,0,1560,1560 1640 1905,,
47,John Dowland,Fine Knacks for Ladies,b'17422.txt',1,0,1563,1563 1626,,1597
48,Richard Rainolde,A booke called the Foundacion of Rhetorike,b'26056-8.txt',1,0,1563,1563 1945,,
49,Lucius Apuleius,The Golden Asse,b'1666.txt',1,1,1566,1566 1639,1893,1537
50,,,b'2.txt',,,1566,,,
51,Cyril James Humphries Davenport,English Embroidered Bookbindings,b'17585-8.txt',1,0,1569,1569 1899 1633 1544 1540,1899,1907
