,Author,Book,Filename,Year
7445,Richard Harding Davis,The Consul,b'1762.txt',1911
42,Desiderius Erasmus,Two Dyaloges (c. 1549),b'14500-8.txt',1549
6457,Jack London,Before Adam,b'310.txt',1906
8811,William John Hopkins,The Clammer and the Submarine,b'39456-8.txt',1917
9084,Holland Thompson,The New South,b'13107-8.txt',1919
9604,Sheila Kaye-Smith,Joanna Godden,b'15779-8.txt',1921
8795,Victor Appleton,Tom Swift and his Electric Locomotive,b'1364.txt',1917
8848,Eden Phillpotts,The Spinners,b'15416.txt',1918
8381,Douglas Dewar,A Bird Calendar for Northern India,b'18237.txt',1916
3530,Various,"The Mirror of Literature, Amusement, and Instruction, No. 484",b'12766-8.txt',1883
662,Jean Jacques Rousseau,"The Confessions of J. J. Rousseau, Book VIII.",b'3908.txt',1782
227,"Jean Francois Paul de Gondi, Cardinal de Retz","Memoirs Of Jean Francois Paul De Gondi, Cardinal De Retz, Volume II.",b'3843.txt',1660
2300,Various,"The Atlantic Monthly, Vol. IX., March, 1862., No. LIII.",b'12760-8.txt',1862
849,William Black,Macleod of Dare,b'15587-8.txt',1800
2772,William Dean Howells,Their Wedding Journey,b'3365.txt',1871
6413,E. Charles Vivian,A History of Aeronautics,b'874.txt',1906
3918,Hobart Pasha,Sketches From My Life,b'16296-0.txt',1887
6084,Alfred Henry Lewis,The President,b'18572-8.txt',1904
2933,Sabine BaringâGould,Lost and Hostile Gospels,b'45620-0.txt',1874
719,Joanna Baillie,"Poems, &c. (1790)",b'14617-8.txt',1790
8037,Robert  Haven  Schauffler,The Joyful Heart,b'19696-8.txt',1914
1212,Honore de Balzac,"Petty Troubles of Married Life, Part First",b'6033.txt',1832
3059,Mark Twain (Samuel Clemens),Quotes and Images From The Works of Mark Twain,b'7556.txt',1876
6645,William Hope Hodgson,"The Boats of the ""Glen Carrig""",b'10542.txt',1907
481,Captain Samuel Brunt,A Voyage to Cacklogallinia,b'16202-8.txt',1727
5348,J. P. Fitzpatrick,The Transvaal from Within,b'16494-8.txt',1899
9955,Joseph Morris,It Can Be Done,b'10763-8.txt',1939
3478,Unknown,Little Sarah,b'10754.txt',1883
744,Honore de Balzac,The Recruit,b'1426.txt',1793
7229,Joseph C. Lincoln,Thankful's Inheritance,b'2552.txt',1910
4574,Helen Campbell,Women Wage-Earners,b'15204-8.txt',1893
814,James Fenimore Cooper,Home as Found,b'10149-8.txt',1800
860,Andrew Lee,Sermons on Various Important Subjects,b'15031.txt',1803
5740,,"The Love Letters of Dorothy Osborne to Sir William Temple, 1652-54",b'12544-8.txt',1901
2767,Theodore Roosevelt,"The Winning of the West, Volume One",b'11941-8.txt',1871
1061,D. Augustus Dickert,History of Kershaw's Brigade,b'13124.txt',1822
9801,Mazo de la Roche,Explorers of the Dawn,b'25283-8.txt',1922
10045,Edward Elmer Smith,The Galaxy Primes,b'20898.txt',1959
4617,"Oliver Wendell Holmes, Sr.","The Poetical Works of Oliver Wendell Holmes, Vol. 6",b'7393.txt',1893
1414,Various,"Punch, or the London Charivari, Vol. 1, August 14, 1841",b'14923-8.txt',1841
5981,Mary Mapes Dodge,Po-No-Kah,b'11991.txt',1903
3405,H. Rider Haggard,Cetywayo and his White Neighbours,b'8667.txt',1882
6981,Various,The Lock And Key Library,b'2038-8.txt',1909
2711,Various,"Punchinello, Vol. 2., No. 32,  November 5, 1870",b'10104-8.txt',1870
7589,Jose  Rizal,The Social Cancer,b'6737.txt',1912
4561,Ernest Dowson and Arthur Moore,A Comedy of Masks,b'16703-8.txt',1893
3147,George MacDonald,"Paul Faber, Surgeon",b'12387-8.txt',1878
2569,Frank Jardine and Alexander Jardine,The Overland Expedition of The Messrs. Jardine,b'4521.txt',1867
9065,Gordon Bates,The Khaki Boys Over the Top,b'12957-8.txt',1919
9697,Edric Holmes,Seaward Sussex,b'12585-8.txt',1922
8451,Jackson Gregory,Wolf Breed,b'18964-8.txt',1916
2963,John Oxenham,Carette of Sark,b'16666-8.txt',1875
4712,Martha Finley,Elsie at the World's Fair,b'14910-8.txt',1894
9384,Sir Harry Johnston,Mrs. Warren's Daughter,b'15380-8.txt',1920
3509,Various,"Mirror of Literature, Amusement, and Instruction, No. 276",b'15935-8.txt',1883
664,Jean Jacques Rousseau,"The Confessions of J. J. Rousseau, Book X.",b'3910.txt',1782
9745,Henry James,The Patagonia,b'2427.txt',1922
9063,Gerald Featherstone Knight,"'Brother Bosch', an Airman's Escape from Germany",b'27229-8.txt',1919
484,Jonathan Swift,A Modest Proposal,b'1080.txt',1729
5810,John G. Nicolay,A Short Life of Abraham Lincoln,b'16332-8.txt',1902
4217,Various,"Punch, or the London Charivari, Vol. 99, Sept. 27, 1890",b'12262-8.txt',1890
1398,Henry Kendall,The Poems of Henry Kendall,b'962.txt',1841
2938,Uriah Smith,The United States in the Light of Prophecy,b'12364.txt',1874
4241,Various,"The American Missionary, October, 1890, Vol. XLIV., No. 10",b'14631.txt',1890
3745,Anonymous,The Story of the Herschels,b'12340-8.txt',1886
5405,William Ralph Inge,Christian Mysticism,b'14596-8.txt',1899
